#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:twin" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:twin" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:twin" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:twin" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:twin">
#                    <taxonset id="TaxonSet.twin" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:twin" jeffreys="true" parameter="@bPopSizes.t:twin" spec="beast.math.distributions.MarkovChainDistribution"/>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin" id="treeLikelihood.twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin">
#            <siteModel id="SiteModel.s:twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
10	-6762.883841959239	-6775.2667119850385	-6762.883841959239	-12.3828700257992	-6762.883841959239	1.124453545813301	-7.4776847632056205	3.2204484051582405	1.9073941831301293	3.5502998113833857	0.11407673717908627	0.038616713319055605	40	19	-53	-34	33
11	-6539.67698656702	-6551.5169571863225	-6539.67698656702	-11.839970619302097	-6539.67698656702	1.1106471360567478	-5.762908945446178	1.4731839284078956	1.116854594791642	2.8105993918627767	1.3481344368841495	0.14190309837090043	49	24	-55	-40	27
12	-6515.526768945113	-6519.256867398048	-6515.526768945113	-3.7300984529351116	-6515.526768945113	1.7353924209320728	-5.046124098093591	0.8016378434480541	0.8367427301520698	0.359564854174278	0.15784418058080826	0.04118461774225303	47	24	-39	-61	34
13	-6389.973641529868	-6398.963152027759	-6389.973641529868	-8.98951049789182	-6389.973641529868	0.8766185537968418	-6.441084812072511	2.706445403153735	2.586669729863135	0.3004074933520923	0.27128036378229636	0.0377290619524396	47	28	-49	-56	35
14	-6376.623889610139	-6391.172325311327	-6376.623889610139	-14.548435701187946	-6376.623889610139	0.9892164059047243	-4.481736283779782	1.514023299326239	6.487215551091404	1.1764012606045398	2.165287765293947	0.27199116848003296	34	36	-49	-60	44
15	-6376.5152029410865	-6383.01566676943	-6376.5152029410865	-6.5004638283435785	-6376.5152029410865	1.0659193464616055	-4.6791579639232115	0.8772262551953307	1.8870487386936943	0.06947681682657884	0.2070924320599198	0.1078768189842458	29	63	-48	-78	39
16	-6367.518944237021	-6378.730154473782	-6367.518944237021	-11.211210236761172	-6367.518944237021	1.300477030590554	-4.279739067535504	0.7474257669314147	2.7994448938431797	1.557476134491183	1.5137533835023642	0.5342096400005454	44	78	-33	-87	3
17	-6360.962684536529	-6365.631823532765	-6360.962684536529	-4.66913899623604	-6360.962684536529	0.8435458125748636	-3.2382557926063362	0.6278831246297822	0.7172873568801662	0.4783085402797291	0.61736995423691	0.5024126222884463	33	71	-21	-92	14
18	-6358.615824145517	-6364.297293770925	-6358.615824145517	-5.681469625408052	-6358.615824145517	0.948058175993619	-4.052967192277352	0.9843650390544959	0.10672204304424951	0.15779307968866554	0.6185713838720741	0.44367527808317975	31	65	-29	-69	7
19	-6355.9707016947705	-6359.1545298728215	-6355.9707016947705	-3.1838281780511033	-6355.9707016947705	0.8454655676923925	-3.9576959672366767	0.6588525462308676	0.31506253001127577	0.1528521392118493	0.2646839828470562	0.45741329535299247	14	53	-11	-64	13
20	-6351.6168548342985	-6360.502919162015	-6351.6168548342985	-8.886064327716987	-6351.6168548342985	0.9049318406397416	-4.622587383214075	1.5468945747043592	0.1687522557909134	0.5433334906689857	1.0855677495741856	0.4032359929522256	6	36	-9	-51	23
21	-6351.587610748807	-6357.031158373134	-6351.587610748807	-5.443547624327265	-6351.587610748807	0.9751225303166043	-3.7703865471924694	0.863034341516987	1.0616811306086285	0.38103381481721366	0.5639386894241061	0.21231957360764314	19	33	-4	-47	4
22	-6351.324125968466	-6354.57724261723	-6351.324125968466	-3.253116648763589	-6351.324125968466	0.9017309806163633	-4.029238020091998	0.5273356509828352	0.16670066333397807	0.1280955677463925	0.31084623135132483	0.6240225779112007	8	40	-13	-28	-2
23	-6351.304695902214	-6359.716787536421	-6351.304695902214	-8.412091634206945	-6351.304695902214	0.9619849943570409	-4.160059360194247	0.5597510306518244	1.233129368257947	1.467013428414021	0.7359171009051895	0.906728128473985	18	46	-18	-19	-22
24	-6351.146405699602	-6363.543357158305	-6351.146405699602	-12.396951458703512	-6351.146405699602	1.0012957689777093	-3.905890641823439	1.0584754434332526	0.5804224484176299	2.527039722975883	3.57498767424555	1.4426704020060879	6	63	-27	-19	-18
25	-6351.084201265982	-6369.720124443872	-6351.084201265982	-18.635923177889687	-6351.084201265982	0.9869107112663933	-4.1981129436210285	1.2663711661431059	4.386303783756953	12.450855947528908	11.83729925026744	2.8526768610055377	29	73	-22	-47	-28
26	-6351.081748198259	-6362.020770000549	-6351.081748198259	-10.939021802289707	-6351.081748198259	0.9309428576519236	-3.934774545004854	1.0096301662895881	0.5755652142189333	1.5284731124454287	1.8767689357128243	3.8100476910771435	27	83	-12	-57	-36
27	-6351.021156150638	-6364.414871464936	-6351.021156150638	-13.393715314299028	-6351.021156150638	0.9281317364046067	-3.696033984646077	0.7137116002045036	2.896596517863049	3.838670676082729	2.4540303126185727	2.559101990438851	44	78	-10	-63	-44
28	-6351.019421768625	-6363.740131297116	-6351.019421768625	-12.72070952849111	-6351.019421768625	0.946971993640874	-3.6650899928177196	0.7992809128749861	1.8080389078546175	1.0489377734370138	3.9983804249614083	3.2935589926551834	43	87	-18	-65	-42
29	-6350.782876050652	-6363.153861504866	-6350.782876050652	-12.370985454213839	-6350.782876050652	0.9816022737917681	-4.143424747007929	1.2024831743077788	0.7030004810691859	0.9034773178525731	3.7516948493451237	3.632295636765297	46	90	-29	-73	-29
30	-6350.740460655806	-6368.0472859112415	-6350.740460655806	-17.30682525543611	-6350.740460655806	0.9905556207159381	-5.387356686635322	1.9669804414009362	3.9047975002640913	9.150766284528185	5.478958472375432	1.984076505648166	45	96	-34	-63	-39
31	-6350.696736657353	-6375.166980913561	-6350.696736657353	-24.470244256207984	-6350.696736657353	0.9724195066270576	-10.967345419781903	8.154053475500397	3.7766410923885507	11.61835645031096	4.764882095943389	0.0644382211806374	12	94	-7	-56	-38
32	-6350.611846489917	-6359.398176445862	-6350.611846489917	-8.786329955945192	-6350.611846489917	0.9857952424741865	-4.5261238660370795	1.4453390986016648	2.783275262208072	1.7815576545780802	0.2804343616054464	0.13197901451967828	12	71	-13	-48	-17
33	-6350.584233728463	-6358.54130821368	-6350.584233728463	-7.957074485217257	-6350.584233728463	0.9807675086858929	-4.09198610676638	1.1305230684299057	2.1507320094359557	1.9079061398618744	0.18977699241625462	0.1861392678070249	16	62	-17	-45	-11
34	-6350.5255510522375	-6359.466498346866	-6350.5255510522375	-8.940947294628204	-6350.5255510522375	0.98380226494774	-3.819261443331858	0.9021278214698462	2.1808638766202777	1.7891558073368012	0.9325530748017021	0.2582872254600988	19	64	-17	-48	-13
35	-6350.517336848917	-6357.501199699605	-6350.517336848917	-6.983862850688751	-6350.517336848917	0.9798209710663413	-3.884817942688299	0.9497919308682375	0.6500283987734046	0.910505899371756	1.1030381203452824	0.36613329036686615	15	69	-13	-62	-4
36	-6350.50514374409	-6355.191168686016	-6350.50514374409	-4.686024941926172	-6350.50514374409	0.9851851405719244	-3.7980048139341878	0.8487522766037066	0.17890695514343194	0.36057178274709883	0.6646766438997693	0.1966144899190631	18	78	-28	-66	3
37	-6350.503741536814	-6355.316821266241	-6350.503741536814	-4.813079729426796	-6350.503741536814	0.9846994975728925	-3.7837089556695873	0.8025697185320433	0.5961781469769889	0.36188144966899854	0.3690183076336304	0.6015909649392563	15	67	-12	-62	-3
38	-6350.486252130573	-6364.0356147131915	-6350.486252130573	-13.549362582618146	-6350.486252130573	0.9762326376243718	-4.370373693407393	1.332129695788261	2.2640152146779116	8.030057912422219	1.2406020356518035	0.10996779520612221	10	68	-13	-51	-9
39	-6350.483024313736	-6370.62885362816	-6350.483024313736	-20.14582931442385	-6350.483024313736	0.9693323937110758	-6.521028867125695	1.9605944479443025	4.499773370072757	11.178453492903143	8.734398977420751	5.523004524588237	3	73	-21	-37	-13
40	-6350.478987871325	-6366.646761082616	-6350.478987871325	-16.16777321129016	-6350.478987871325	0.9620216129570649	-3.766361613091398	0.8461354879897385	2.2974558192002763	2.87820596250967	8.611251393895571	14.928713166545531	9	67	-11	-40	-20
