#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:twin" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:twin" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:twin" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:twin" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:twin">
#                    <taxonset id="TaxonSet.twin" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:twin" jeffreys="true" parameter="@bPopSizes.t:twin" spec="beast.math.distributions.MarkovChainDistribution"/>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin" id="treeLikelihood.twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin">
#            <siteModel id="SiteModel.s:twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-8317.766166707112	-8380.190057453934	-8317.766166707112	-62.42389074682267	-8317.766166707112	352.49949362751784	-30.853717392231083	235.0125807461611	208.36529677269263	216.27873767533634	319.24501441563893	245.30855599528297	0	21	-10	-3	-3
1	-8317.766142323915	-8370.91578579703	-8317.766142323915	-53.149643473114274	-8317.766142323915	72.81790994707356	-27.99879756126871	79.18298462803507	47.5503095215936	97.7975678004351	70.33279759195105	23.420832634922743	3	32	-9	-16	-5
2	-8098.32585247725	-8134.086524028709	-8098.32585247725	-35.760671551458984	-8098.32585247725	31.460752481613625	-18.944297053406938	14.663652828503865	7.211573053923604	6.637777809063285	11.16066817381987	23.115430176622773	9	30	-12	-17	-5
3	-7910.779581867399	-7935.540953528972	-7910.779581867399	-24.76137166157199	-7910.779581867399	3.6854060710281558	-11.634195554899726	2.5879432159450504	7.889100833771652	11.81308408235806	4.358967345443724	1.32395189939029	4	25	-6	-6	-12
4	-7763.957117104585	-7783.397876531238	-7763.957117104585	-19.440759426652058	-7763.957117104585	1.5183676370315713	-9.2406571188422	4.175643748085085	3.092554804255854	7.379302338649617	0.614992312735821	0.9162927677094665	23	26	-10	-17	-17
5	-7488.151779843792	-7495.478957081478	-7488.151779843792	-7.32717723768679	-7488.151779843792	2.115977680602042	-5.254526145399397	1.5307307243765818	0.8763862923431579	1.4636402570797924	0.10504144726701174	0.0957139255416644	31	26	-26	-23	-3
6	-7423.243540531592	-7440.971272441137	-7423.243540531592	-17.727731909545998	-7423.243540531592	3.996159118840613	-12.971806597475569	3.6564521893551087	1.5741928623743575	0.7190018565379599	0.26972526691680804	0.562925358399503	33	27	-41	-16	2
7	-7193.056333518122	-7199.84450067622	-7193.056333518122	-6.788167158097955	-7193.056333518122	1.6986814829338353	-3.17706337815079	0.4292133332260005	1.2864166120157077	0.5163832894124394	0.7004661079649129	0.9195118139862521	7	27	-38	-7	16
8	-7166.6933787566695	-7169.621428990204	-7166.6933787566695	-2.928050233533803	-7166.6933787566695	0.4873393520369598	0.34325648410072085	1.7442956052924485	1.2270019251759428	0.3913234773170727	0.5392112623093137	0.5983193403468058	15	19	-41	-19	31
9	-7006.21478374802	-7022.041171103176	-7006.21478374802	-15.82638735515614	-7006.21478374802	0.8818084850386368	-5.845596450499873	14.43112142344307	1.3277322925679604	0.5505420134896937	0.4502021296193972	1.9939714855295843	21	18	-45	-24	35
