"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight"
"1","GTR","relaxed_log_normal","birth_death",-8235.03512660878,5.4330315721896,2.79023685930867e-13
"2","GTR","relaxed_log_normal","coalescent_bayesian_skyline",-8271.93531190826,7.44786550281492,2.63083865731243e-29
"3","GTR","relaxed_log_normal","coalescent_constant_population",-8259.12267016654,3.43470747546149,9.65058903333685e-24
"4","GTR","relaxed_log_normal","coalescent_exp_population",-8238.32225825379,5.25630746322181,1.04245648834252e-14
"5","GTR","relaxed_log_normal","yule",-8232.38635478416,4.8791388108739,3.94446456321737e-12
"6","GTR","strict","birth_death",-8231.42076296004,5.13699429052292,1.03595110915564e-11
"7","GTR","strict","coalescent_bayesian_skyline",-8261.15321442759,5.01321420606299,1.26677549586816e-24
"8","GTR","strict","coalescent_constant_population",-8271.50241603258,4.06073630819765,4.05600521540581e-29
"9","GTR","strict","coalescent_exp_population",-8241.06246423575,5.68194785742286,6.7297913489924e-16
"10","GTR","strict","yule",-8231.9572016133,4.61230261929339,6.05852511756223e-12
"11","HKY","relaxed_log_normal","birth_death",-8221.96783147044,4.16673280136852,1.3203687694936e-07
"12","HKY","relaxed_log_normal","coalescent_bayesian_skyline",-8230.21608411453,5.36713995020636,3.45560930523349e-11
"13","HKY","relaxed_log_normal","coalescent_constant_population",-8235.282411509,6.2464762065366,2.17894668457108e-13
"14","HKY","relaxed_log_normal","coalescent_exp_population",-8212.83765496968,3.4669169648332,0.00121865427566181
"15","HKY","relaxed_log_normal","yule",-8236.9911851445,5.92896969417211,3.9458052212037e-14
"16","HKY","strict","birth_death",-8223.9978701368,4.30116655849038,1.73404615395307e-08
"17","HKY","strict","coalescent_bayesian_skyline",-8233.45279905661,5.90867808805156,1.35780435084214e-12
"18","HKY","strict","coalescent_constant_population",-8223.01456780674,3.9098385840942,4.63557304232831e-08
"19","HKY","strict","coalescent_exp_population",-8229.8487930622,5.35186321343965,4.98927120817854e-11
"20","HKY","strict","yule",-8233.37619830858,5.064558306451,1.46590044993018e-12
"21","JC69","relaxed_log_normal","birth_death",-8215.67986583125,2.85672271997963,7.104344665501e-05
"22","JC69","relaxed_log_normal","coalescent_bayesian_skyline",-8217.96393003705,4.21779765029368,7.23714946673116e-06
"23","JC69","relaxed_log_normal","coalescent_constant_population",-8225.70881538608,4.3231231482582,3.13333313954077e-09
"24","JC69","relaxed_log_normal","coalescent_exp_population",-8206.12902829363,2.40694592972782,0.99861954796698
"25","JC69","relaxed_log_normal","yule",-8218.44990960004,3.76751123453236,4.45152994886404e-06
"26","JC69","strict","birth_death",-8215.59561154928,3.05766759101606,7.72885558855077e-05
"27","JC69","strict","coalescent_bayesian_skyline",-8220.99890727152,3.68705962656738,3.47931441549186e-07
"28","JC69","strict","coalescent_constant_population",-8219.78201879158,4.00389069325255,1.17484785520546e-06
"29","JC69","strict","coalescent_exp_population",NA,NA,0
"30","TN93","relaxed_log_normal","birth_death",NA,NA,0
"31","TN93","relaxed_log_normal","coalescent_bayesian_skyline",-8239.14778129887,5.45312373441186,4.56602025405849e-15
"32","TN93","relaxed_log_normal","coalescent_constant_population",-8223.04064653498,5.04446786372843,4.51624590552756e-08
"33","TN93","relaxed_log_normal","coalescent_exp_population",-8227.37701374035,5.4065945854701,5.9090441115495e-10
"34","TN93","relaxed_log_normal","yule",-8228.93043699376,4.75554860442799,1.24989659522437e-10
"35","TN93","strict","birth_death",-8228.81164025209,4.61318621719,1.40755979849976e-10
"36","TN93","strict","coalescent_bayesian_skyline",-8224.68037459757,3.87079261923859,8.76299838060672e-09
"37","TN93","strict","coalescent_constant_population",-8231.89546148702,5.68047408804707,6.4443676503054e-12
"38","TN93","strict","coalescent_exp_population",-8227.48583310751,4.77614714392076,5.2997768204557e-10
"39","TN93","strict","yule",-8232.66459494821,5.18367191972772,2.98641316106923e-12
