#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:twin" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:twin" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:twin" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:twin">
#                <taxonset id="TaxonSet.twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:twin" name="distribution" x="@BDBirthRate.t:twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:twin" name="distribution" x="@BDDeathRate.t:twin">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin" id="treeLikelihood.twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin">
#            <siteModel id="SiteModel.s:twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate
0	-9067.176986880908	-9066.929849088567	-9067.176986880908	0.2471377923404745	-9067.176986880908	0.3850907934325381	0.2471377923404745	0.29428921497620286	0.8987093132284505
1	-8524.74888529574	-8530.647501393983	-8524.74888529574	-5.898616098243231	-8524.74888529574	1.1339384185535177	-5.898616098243231	0.44411848154500977	0.05211933138947574
2	-8137.793066193451	-8136.576273832078	-8137.793066193451	1.21679236137274	-8137.793066193451	0.3709073944698652	1.21679236137274	3.6188247992503646	0.10444359933014921
3	-7993.169503242739	-8003.729453754042	-7993.169503242739	-10.559950511302945	-7993.169503242739	3.954294636457897	-10.559950511302945	0.16008240733175563	0.30544436521135004
4	-7733.744485523605	-7737.488788186458	-7733.744485523605	-3.7443026628520872	-7733.744485523605	0.8134887168915301	-3.7443026628520872	1.6764309284300491	0.3006338252446608
5	-7699.842520566063	-7709.934972980477	-7699.842520566063	-10.092452414413728	-7699.842520566063	4.2281682620117795	-10.092452414413728	0.23937876350487824	0.23741974336768948
6	-7616.218129165569	-7623.992687880261	-7616.218129165569	-7.774558714692254	-7616.218129165569	2.158281109121631	-7.774558714692254	1.0283887329380093	0.6370976660230605
7	-7382.439634463442	-7381.254032846903	-7382.439634463442	1.1856016165395724	-7382.439634463442	0.3382125184878843	1.1856016165395724	2.38703782244265	0.06657372691489848
8	-7216.992433408839	-7217.386248956289	-7216.992433408839	-0.3938155474501445	-7216.992433408839	0.4924996253212846	-0.3938155474501445	1.0843085352188537	0.5171217647786184
9	-7048.220563500249	-7052.366258665043	-7048.220563500249	-4.145695164792984	-7048.220563500249	1.0973793497020274	-4.145695164792984	1.9509136234735711	0.17783137486791092
10	-6874.7908354017245	-6875.577210686152	-6874.7908354017245	-0.7863752844282121	-6874.7908354017245	0.6226113901271401	-0.7863752844282121	1.8447315207958341	0.088134994449892
11	-6730.5871714056775	-6734.200310880127	-6730.5871714056775	-3.6131394744495937	-6730.5871714056775	1.1263222856887438	-3.6131394744495937	1.1021248058691473	0.3001716875625993
12	-6502.3230843297915	-6502.962728259972	-6502.3230843297915	-0.6396439301807844	-6502.3230843297915	0.525452760198063	-0.6396439301807844	2.918188074619234	0.10705354878397824
13	-6480.165650722954	-6481.499052143144	-6480.165650722954	-1.333401420190329	-6480.165650722954	0.8329603550775763	-1.333401420190329	1.823946530449296	0.19751850715012256
14	-6430.025454800507	-6432.347173691901	-6430.025454800507	-2.321718891394247	-6430.025454800507	0.8065477478953949	-2.321718891394247	1.0812521820302918	0.4212374179944578
15	-6410.748109544645	-6413.125079829298	-6410.748109544645	-2.3769702846529377	-6410.748109544645	0.6424961541116634	-2.3769702846529377	2.713763461657474	0.4527023180025036
16	-6386.7342701187645	-6390.875116860124	-6386.7342701187645	-4.140846741359302	-6386.7342701187645	1.05831877504618	-4.140846741359302	2.0602403325270977	0.5754571570526842
17	-6366.149437128932	-6367.6188986386915	-6366.149437128932	-1.4694615097596695	-6366.149437128932	0.7488787046444633	-1.4694615097596695	1.9980380594570613	0.04338619850272609
18	-6363.809626462406	-6366.768891445583	-6363.809626462406	-2.959264983176939	-6363.809626462406	0.8992830441736613	-2.959264983176939	1.051852387767411	0.04942022313119074
19	-6361.450858990366	-6364.7393076795815	-6361.450858990366	-3.288448689215201	-6361.450858990366	1.2437345560156443	-3.288448689215201	1.1304308813881079	0.07744658695422552
20	-6361.29333512791	-6365.118647846827	-6361.29333512791	-3.8253127189171003	-6361.29333512791	1.0979723551861689	-3.8253127189171003	1.14119421709669	0.7943171757341938
21	-6360.122481317465	-6362.4704975705135	-6360.122481317465	-2.3480162530488498	-6360.122481317465	0.8017487146116843	-2.3480162530488498	1.0294232257246672	0.7021268962072285
22	-6354.739354240356	-6358.451958893059	-6354.739354240356	-3.7126046527028747	-6354.739354240356	0.9806744511923197	-3.7126046527028747	2.707218994377284	0.1643381341185608
23	-6351.953063723335	-6354.277908303229	-6351.953063723335	-2.32484457989413	-6351.953063723335	0.881261620692952	-2.32484457989413	1.021897635233487	0.5800105556186785
24	-6351.079528389302	-6355.049226165556	-6351.079528389302	-3.9696977762538737	-6351.079528389302	0.9152453533748192	-3.9696977762538737	2.6766476268708725	0.43344819311053
25	-6351.075292296648	-6354.239596399484	-6351.075292296648	-3.164304102836612	-6351.075292296648	0.9799873017199913	-3.164304102836612	0.7685381149506934	0.2523288859395238
26	-6351.055550428524	-6353.498753576028	-6351.055550428524	-2.443203147504367	-6351.055550428524	0.9294223107041938	-2.443203147504367	1.5079431808024626	0.18978757297998372
27	-6351.047374972444	-6354.226919952092	-6351.047374972444	-3.179544979648304	-6351.047374972444	1.0371046200084921	-3.179544979648304	0.29907130627336215	0.7926767025767397
28	-6351.022331979013	-6354.749650623324	-6351.022331979013	-3.7273186443104676	-6351.022331979013	0.970268744450746	-3.7273186443104676	0.6502674067799059	0.1670861988545567
29	-6350.953991471538	-6353.545006956347	-6350.953991471538	-2.5910154848088833	-6350.953991471538	0.9555761082273597	-2.5910154848088833	1.0201235283700487	0.5702349275423564
30	-6350.599483587597	-6354.885015269418	-6350.599483587597	-4.285531681820786	-6350.599483587597	0.9454058574462779	-4.285531681820786	2.7358377542680623	0.4543892258244994
31	-6350.593140179899	-6353.187554088872	-6350.593140179899	-2.5944139089729505	-6350.593140179899	0.9572029985231911	-2.5944139089729505	0.8733675179971536	0.6244524422755563
32	-6350.5293603385835	-6353.459497487781	-6350.5293603385835	-2.93013714919783	-6350.5293603385835	0.9603232944423951	-2.93013714919783	0.7525330536132678	0.7990646956929822
33	-6350.470571399112	-6353.212477573122	-6350.470571399112	-2.7419061740102584	-6350.470571399112	0.9679025622831067	-2.7419061740102584	0.41687923426173384	0.7923622033089306
34	-6350.467923243647	-6353.666438911387	-6350.467923243647	-3.1985156677391924	-6350.467923243647	0.9676715709206697	-3.1985156677391924	0.07359192846586536	0.9496054510291643
