#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:twin" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:twin" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:twin" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:twin">
#                <taxonset id="TaxonSet.twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:twin" name="distribution" x="@BDBirthRate.t:twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:twin" name="distribution" x="@BDDeathRate.t:twin">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin" id="treeLikelihood.twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin">
#            <siteModel id="SiteModel.s:twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate
35	-6350.467789459767	-6353.370209309717	-6350.467789459767	-2.902419849950122	-6350.467789459767	0.9669471020364838	-2.902419849950122	1.13876866986459	0.6797409273092335
36	-6350.466408172057	-6353.046233070897	-6350.466408172057	-2.579824898840698	-6350.466408172057	0.9667241855795328	-2.579824898840698	1.1487030513519039	0.27647023923648106
37	-6350.465562386804	-6353.1566188054885	-6350.465562386804	-2.691056418685018	-6350.465562386804	0.9664732622978842	-2.691056418685018	0.8665864531875911	0.42869128571553816
38	-6350.465273829724	-6354.028006404136	-6350.465273829724	-3.562732574412432	-6350.465273829724	0.9664832901545083	-3.562732574412432	1.5538552210360392	0.684424853748759
39	-6350.465273829724	-6354.028006404136	-6350.465273829724	-3.562732574412432	-6350.465273829724	0.9664832901545083	-3.562732574412432	1.5538552210360392	0.684424853748759
40	-6350.464838509782	-6353.361538263406	-6350.464838509782	-2.896699753624493	-6350.464838509782	0.9698379334715143	-2.896699753624493	0.9298920296300296	0.20494669365334583
41	-6350.4646405124395	-6353.019278149075	-6350.4646405124395	-2.5546376366355443	-6350.4646405124395	0.9695401777280844	-2.5546376366355443	1.4475012088515993	0.022996664608523128
42	-6350.464085138187	-6353.7154115398025	-6350.464085138187	-3.2513264016155627	-6350.464085138187	0.967313992404242	-3.2513264016155627	2.6752268878389596	0.01986197994717043
43	-6350.464055668097	-6355.19019945008	-6350.464055668097	-4.726143781983242	-6350.464055668097	0.9688799942460735	-4.726143781983242	3.6825411752239128	0.009242584479483208
44	-6350.464037586027	-6354.156941331445	-6350.464037586027	-3.69290374541767	-6350.464037586027	0.9688799942460735	-3.69290374541767	2.2915811716255607	0.4541541369114097
45	-6350.464037586027	-6354.156941331445	-6350.464037586027	-3.69290374541767	-6350.464037586027	0.9688799942460735	-3.69290374541767	2.2915811716255607	0.4541541369114097
46	-6350.463783333568	-6353.15358544791	-6350.463783333568	-2.689802114342	-6350.463783333568	0.9688799942460735	-2.689802114342	1.744786751433423	0.29136934355034483
